,공원개수,구
가양1동,2,강서구
고덕2동,1,강동구
고척2동,1,구로구
고촌읍,1,김포시
교남동,1,종로구
금호4가동,1,성동구
노량진1동,1,동작구
녹번동,1,은평구
답십리2동,1,동대문구
도곡1동,1,강남구
도곡2동,1,강남구
돈암1동,2,성북구
둔촌2동,1,강동구
등촌1동,1,강서구
마천2동,1,송파구
목2동,1,양천구
발산1동,1,강서구
방배2동,1,서초구
방배3동,1,서초구
방화3동,1,강서구
번2동,1,강북구
불광1동,1,은평구
불광2동,1,은평구
사당3동,1,동작구
사직동,2,종로구
삼양동,1,강북구
삼청동,1,종로구
상도4동,1,동작구
상일동,1,강동구
서원동,1,관악구
석관동,1,성북구
세곡동,2,강남구
수궁동,1,구로구
신사1동,1,은평구
신사2동,1,은평구
신정3동,2,양천구
신정7동,1,양천구
쌍문4동,1,도봉구
약수동,1,중구
양재1동,1,서초구
연희동,2,서대문구
오금동,1,송파구
오류1동,1,구로구
오류2동,1,구로구
용강동,1,마포구
용산2가동,1,용산구
월곡1동,1,성북구
일원본동,1,강남구
잠실6동,1,송파구
장지동,1,송파구
전농2동,1,동대문구
종로1.2.3.4가동,1,종로구
중곡4동,1,광진구
진관동,4,은평구
창1동,1,도봉구
천연동,1,서대문구
청량리동,2,동대문구
혜화동,1,종로구
홍은2동,2,서대문구
화곡본동,1,강서구
흑석동,1,동작구
