,보행자전용도로수,구
갈현1동,8,은평구
갈현2동,16,은평구
개봉1동,2,구로구
개봉3동,2,구로구
구로3동,3,구로구
구로5동,2,구로구
구의1동,8,광진구
구의2동,2,광진구
낙성대동,8,관악구
노량진1동,4,동작구
녹번동,2,은평구
논현1동,1,강남구
대림2동,3,영등포구
대방동,2,동작구
대조동,2,은평구
도림동,1,영등포구
독산1동,2,금천구
독산4동,2,금천구
마천2동,2,송파구
명동,12,중구
목1동,2,양천구
목2동,4,양천구
목5동,2,양천구
문래동,8,영등포구
문정2동,2,송파구
방배2동,2,서초구
방화3동,2,강서구
불광2동,2,은평구
사당5동,1,동작구
삼청동,2,종로구
상계2동,2,노원구
상계5동,1,노원구
상계9동,1,노원구
상도1동,2,동작구
서원동,4,관악구
서초4동,4,서초구
성현동,1,관악구
숭인2동,2,종로구
시흥1동,2,금천구
시흥5동,2,금천구
신길3동,5,영등포구
신대방1동,2,동작구
신림동,2,관악구
신월5동,4,양천구
신정3동,4,양천구
신정4동,2,양천구
신정7동,2,양천구
신촌동,12,서대문구
양평2동,2,영등포구
역삼1동,1,강남구
염창동,4,강서구
오류1동,2,구로구
우장산동,4,강서구
월계2동,2,노원구
이화동,4,종로구
인헌동,2,관악구
자양3동,2,광진구
조원동,2,관악구
종로1.2.3.4가동,6,종로구
중계1동,1,노원구
중계4동,1,노원구
청림동,1,관악구
행운동,2,관악구
혜화동,4,종로구
홍은2동,2,서대문구
황학동,2,중구
회진면,1,장흥군
회현동,8,중구
흑석동,2,동작구
