,관광명소개수,구
가락1동,1,송파구
가양1동,1,강서구
가회동,3,종로구
갈현1동,1,은평구
공덕동,1,마포구
공릉1동,1,노원구
공릉2동,1,노원구
광장동,1,광진구
광희동,1,중구
낙성대동,2,관악구
남영동,1,용산구
노량진2동,1,동작구
능동,1,광진구
당산2동,1,영등포구
대학동,1,관악구
도봉1동,1,도봉구
망원1동,1,마포구
면목본동,1,중랑구
명동,2,중구
무악동,1,종로구
문래동,1,영등포구
문정2동,1,송파구
반포2동,1,서초구
방학3동,1,도봉구
번3동,1,강북구
부암동,3,종로구
북가좌1동,1,서대문구
사직동,5,종로구
삼성1동,2,강남구
삼성2동,1,강남구
삼청동,1,종로구
상계1동,2,노원구
상도1동,1,동작구
상암동,1,마포구
서교동,1,마포구
서빙고동,1,용산구
서초3동,1,서초구
석촌동,1,송파구
성북동,3,성북구
성산2동,1,마포구
성수1가1동,1,성동구
성수2가1동,1,성동구
소공동,5,중구
수궁동,1,구로구
신당동,1,중구
신대방2동,1,동작구
신도림동,1,구로구
신림동,1,관악구
신사동,1,강남구
신월3동,1,양천구
신촌동,1,서대문구
암사2동,1,강동구
양재2동,1,서초구
여의동,3,영등포구
영등포동,1,영등포구
오륜동,1,송파구
용문동,1,용산구
용산2가동,2,용산구
원효로2동,1,용산구
이촌2동,1,용산구
이태원1동,2,용산구
이태원2동,1,용산구
이화동,3,종로구
자양3동,1,광진구
잠실2동,1,송파구
잠실3동,2,송파구
잠실6동,2,송파구
잠실본동,1,송파구
장충동,1,중구
정릉1동,1,성북구
종로1.2.3.4가동,13,종로구
종로5.6가동,1,종로구
중계2.3동,1,노원구
중림동,1,중구
진관동,1,은평구
천연동,2,서대문구
청량리동,2,동대문구
청운효자동,4,종로구
필동,1,중구
한남동,2,용산구
합정동,1,마포구
혜화동,1,종로구
회현동,3,중구
