,index,공원명,위도,경도,공원면적,구
0,16,달터근린공원,37.485434000000005,127.05235400000001,232078.2,강남구
1,22,도곡근린공원,37.489670000000004,127.04186100000001,254648.0,강남구
2,43,세곡공원,37.469014,127.10471499999998,101513.0,강남구
3,44,돌산공원,37.4671,127.10745800000001,98417.0,강남구
4,45,광평공원,37.485867,127.083389,519782.0,강남구
5,65,동명공원,37.561146,127.164455,99599.9,강동구
6,74,일자산공원,37.532125,127.151191,632733.0,강동구
7,75,명일공원,37.551767,127.164576,649709.6,강동구
8,79,북한산 도시자연공원,37.62107,127.00836000000001,128341.0,강북구
9,80,오동근린공원,37.62952,127.03334,1346557.0,강북구
10,83,서울식물원,37.5697826,126.82306820000001,498059.0,강서구
11,85,개화,37.5880104,126.79677990000002,386500.0,강서구
12,88,봉제산,37.539906099999996,126.8497499,917190.0,강서구
13,89,꿩고개,37.5779834,126.80810490000002,180000.0,강서구
14,98,염창,37.557807700000005,126.86024259999999,112070.0,강서구
15,99,궁산,37.574099200000006,126.83209679999999,135002.7,강서구
16,100,우장,37.549633,126.8335962,359435.2,강서구
17,105,장군봉근린공원,37.478631,126.93904850000001,128100.0,관악구
18,110,계남근린공원,37.505292,126.85306899999999,158814.0,구로구
19,111,고척근린공원,37.492267,126.823399,108120.0,구로구
20,113,온수도시자연공원,37.571952,126.963169,1097565.0,구로구
21,114,개웅산근린공원,37.500374,126.83693000000001,411972.0,구로구
22,115,천왕도시자연공원,37.576299,126.93293,587860.0,구로구
23,119,푸른수목원,37.484689,126.82443700000002,100809.0,구로구
24,131,초안산 근린공원,37.6475899,127.04075929999999,664905.0,도봉구
25,132,둘리(쌍문)근린공원,37.6533662,127.029022,328018.0,도봉구
26,134,청량,37.595591,127.044279,242864.0,동대문구
27,137,홍릉,37.589273999999996,127.043205,102920.0,동대문구
28,138,답십리,37.573094,127.063823,160419.1,동대문구
29,139,배봉산,37.579434,127.065849,265582.0,동대문구
30,144,상도,37.493459,126.94,359342.8,동작구
31,145,노량진,37.509371,126.943688,416031.0,동작구
32,147,현충,37.486549,126.973952,1106365.7,동작구
33,150,까치산,37.510714,126.96383999999999,384026.0,동작구
34,153,궁동근린공원,37.569301,126.923002,126026.0,서대문구
35,155,백련근린공원,37.591803999999996,126.931679,993724.0,서대문구
36,156,독립근린공원,37.574349,126.95591200000001,113021.7,서대문구
37,173,서리풀,37.472561,126.985735,548520.8,서초구
38,182,말죽거리,37.477852,127.031245,350200.0,서초구
39,183,방배,37.476268,126.996443,228107.0,서초구
40,187,응봉,37.547639000000004,127.029729,417284.88,성동구
41,195,성북,37.600528000000004,127.02363600000001,139548.0,성북구
42,196,오동,37.610608,127.040398,183461.0,성북구
43,197,개운산,37.597612,127.025451,322174.0,성북구
44,198,청량,37.604661,127.056385,762642.0,성북구
45,200,천마,37.500625,127.157122,182420.0,송파구
46,201,송파나루,37.511008000000004,127.104638,285757.6,송파구
47,210,오금,37.501065999999994,127.131279,219167.4,송파구
48,212,장지,37.489853000000004,127.136501,133531.12,송파구
49,257,온수도시자연공원,37.505895,126.840021,1003471.0,양천구
50,259,용왕산,37.541663,126.87506100000002,213552.0,양천구
51,272,계남,37.513745,126.844816,440173.0,양천구
52,275,갈산,37.508129,126.869032,138596.0,양천구
53,284,효창공원,37.5450571,126.94223190000001,171277.0,용산구
54,285,응봉공원,37.5449837,126.9877774,187834.0,용산구
55,293,백련근린공원<시공원>,37.591312,126.92897099999999,316918.0,은평구
56,297,신사근린공원<시공원>,37.592420000000004,126.91058400000001,111650.0,은평구
57,298,봉산도시자연공원<시공원>,37.600268,126.906472,1512881.0,은평구
58,299,진관근린공원<시공원>,37.640075,126.932882,1313671.9,은평구
59,300,서오릉도시자연공원<시공원>,37.637976,126.913577,1082847.0,은평구
60,301,불광근린공원<시공원>,37.618784000000005,126.930834,131471.0,은평구
61,302,향림근린공원<시공원>,37.629366,126.92701399999999,253629.0,은평구
62,303,북한산도시자연공원<시공원>,37.605799,126.940903,730342.0,은평구
63,328,물푸레근린공원<시공원>,37.637075,126.91649299999999,147441.6,은평구
64,332,기자촌근린공원<시공원>,37.632016,126.93076,128953.7,은평구
65,347,창덕공원,37.580273999999996,126.99178500000001,491328.0,종로구
66,354,사직공원,37.576297,126.96794799999999,168099.8,종로구
67,356,경희궁공원,37.570303,126.97053100000001,100930.0,종로구
68,359,삼청공원,37.590631,126.985945,372418.4,종로구
69,360,와룡공원,37.590834,126.990606,204369.0,종로구
70,366,응봉공원,37.548628,127.01025,107695.0,중구
71,381,용마도시자연공원,37.562371,127.096208,2800624.0,중랑구
