,위도,경도,구
0,37.544187,127.11819109999999,강동구
1,37.514312100000005,127.0052452,서초구
2,37.527755,127.019479,강남구
3,37.525968299999995,127.10383119999999,송파구
4,37.5174783,127.0845207,송파구
5,37.5177155,127.08347450000001,송파구
6,37.5176776,127.08358100000001,송파구
7,37.5414615,126.8974925,영등포구
8,37.5409266,126.8979867,영등포구
9,37.5419779,126.89629359999999,영등포구
10,37.5410584,126.89836670000001,영등포구
11,37.541162299999996,126.8975925,영등포구
12,37.5415393,126.89696119999999,영등포구
13,37.541985700000005,126.8974183,영등포구
14,37.5424135,126.8966258,영등포구
15,37.5413999,126.89831470000001,영등포구
16,37.540631899999994,126.89843459999999,영등포구
17,37.528569700000006,127.1064672,송파구
18,37.521410700000004,127.01183030000001,서초구
19,37.5291873,127.0210655,강남구
20,37.51098029999999,127.00037379999999,서초구
21,37.5112867,127.0000238,서초구
22,37.5187937,127.09064939999999,송파구
23,37.5170799,126.97174040000002,용산구
24,37.5118971,127.0008992,서초구
25,37.5430742,126.91457659999999,마포구
26,37.50939,126.9968868,서초구
27,37.5395631,127.11480729999998,송파구
28,37.5430248,126.8952071,영등포구
29,37.5542011,126.8967932,마포구
30,37.5073481,126.9924246,서초구
31,37.5227018,127.09854340000001,송파구
32,37.5224847,127.0984916,송파구
33,37.52231,127.09843640000001,송파구
34,37.522545799999996,127.0982479,송파구
35,37.522465600000004,127.09873759999999,송파구
36,37.5301484,127.0650313,광진구
37,37.5098635,126.99699199999999,서초구
38,37.5150581,127.0058446,서초구
39,37.531861299999996,127.06214540000002,광진구
40,37.5554349,126.8948971,마포구
41,37.5172069,127.0076517,서초구
42,37.530662400000004,127.0223755,강남구
43,37.527913299999994,127.0749232,광진구
44,37.5391885,126.90144939999999,영등포구
45,37.5156753,127.00592879999999,서초구
46,37.5165529,127.00657369999999,서초구
47,37.5172853,127.00846840000001,서초구
48,37.537493,126.9033392,영등포구
49,37.5158424,127.0066132,서초구
50,37.508373999999996,126.99433810000001,서초구
51,37.532168299999995,127.06105840000001,광진구
52,37.5131467,127.0035669,서초구
53,37.506766799999994,126.99008959999999,서초구
54,37.528087799999994,127.07286670000002,광진구
55,37.5186591,127.0756774,송파구
56,37.5192743,127.0925068,송파구
57,37.5283985,127.0206354,강남구
58,37.5174448,127.0077824,서초구
59,37.50790670000001,126.99189799999999,서초구
60,37.5147996,127.0039222,서초구
61,37.529924,127.0707682,광진구
62,37.533205,127.0581244,성동구
63,37.515449200000006,127.0050844,서초구
64,37.514830200000006,127.0052608,서초구
65,37.5299034,127.0673054,광진구
66,37.5309701,127.06408449999999,광진구
67,37.521966,127.0127885,서초구
68,37.513502200000005,127.0016899,서초구
69,37.518832700000004,126.96785190000001,용산구
70,37.512977899999996,126.9999932,서초구
71,37.527036200000005,127.0785091,광진구
72,37.5328859,127.058411,성동구
73,37.5076548,126.990996,서초구
74,37.510363899999994,126.9950053,서초구
75,37.5095968,126.99670359999999,서초구
76,37.5273129,127.07977859999998,광진구
77,37.5190077,126.9936541,용산구
78,37.509747600000004,126.99398909999998,서초구
79,37.5154758,127.002496,서초구
80,37.50867589999999,126.9942159,서초구
81,37.5301278,127.069629,광진구
82,37.5274593,127.07534240000001,광진구
83,37.51416270000001,127.00289,서초구
84,37.5296674,127.07221200000001,광진구
85,37.511839,126.99905890000001,서초구
86,37.5194848,126.9946811,용산구
87,37.5306872,127.06795430000001,광진구
88,37.5275412,127.078143,광진구
89,37.5275586,127.0762007,광진구
90,37.522057000000004,127.0975065,송파구
91,37.5267963,127.0775082,광진구
92,37.5266533,127.0791999,광진구
93,37.5109591,126.9965163,서초구
94,37.5314383,127.06448459999999,광진구
95,37.51674570000001,127.0063254,서초구
96,37.5116876,126.9987287,서초구
97,37.526765000000005,127.0792131,광진구
98,37.526906700000005,127.07753319999999,광진구
99,37.5279167,127.0711814,광진구
100,37.5062928,126.98928329999998,서초구
101,37.5300605,127.0689352,광진구
102,37.517922799999994,127.00688090000001,서초구
103,37.5155794,127.0039765,서초구
104,37.532795,127.0583691,성동구
105,37.5304679,127.0695592,광진구
106,37.5280895,127.07779409999999,광진구
107,37.5080776,126.99338689999999,서초구
108,37.5273214,127.07430719999999,광진구
