,names,구,lat,lon
0,동작테니스장,동작구,37.4992,126.97385
1,독산동잔디축구장,금천구,37.47026,126.896938
2,강동그린웨이가족캠핑장,강동구,37.5361075,127.1533066
3,한강시민공원광나루지구,강동구,37.5554609,127.1225831
4,구의야구공원 야구장,광진구,37.5472289,127.0968271
5,한강시민공원뚝섬지구,광진구,37.529346,127.074006
6,중랑구립잔디운동장,중랑구,37.6069105,127.1130008
7,한강시민공원난지지구,마포구,37.5628394,126.8854406
8,한강시민공원망원지구,마포구,37.552343,126.8998872
9,한강시민공원잠실지구,송파구,37.5176297,127.0867633
10,신월야구공원,양천구,37.5274319,126.8300869
11,한강시민공원이촌지구,용산구,37.5178349,126.9707975
12,잠실야구장,송파구,37.5151707,127.0740482
13,잠실체육관,송파구,37.5151707,127.0740482
14,잠실1수영장,송파구,37.518,127.0829049
15,잠실인라인연습장,송파구,37.5061,127.084338
16,잠실인라인트랙,송파구,37.5061,127.084338
17,잠실풋살경기장,송파구,37.5061,127.084338
18,목동야구장,양천구,37.5292629,126.8802993
19,목동다목적경기장,양천구,37.5292629,126.8802993
20,효창운동장,용산구,37.5440798,126.9616255
21,창동문화체육센터,도봉구,37.658246,127.0507744
22,동대문구체육관,동대문구,37.5722972,127.0639921
23,관악구민운동장,관악구,37.4751228,126.9574556
24,관악구민체육센터,관악구,37.4730839,126.9603185
25,은평구민체육센터,은평구,37.6304407,126.9235812
26,어린이대공원,광진구,37.5498987,127.0809212
27,올림픽주경기장,송파구,37.5151707,127.0740482
28,잠실보조경기장,송파구,37.5061,127.084338
29,은평구립축구장,은평구,37.6306106,126.9248441
30,황학정,종로구,37.5771751,126.969534
31,용마폭포공원,중랑구,37.5733585,127.0891367
32,노해근린공원운동장,노원구,37.6481759,127.0707093
33,마들스타디움,노원구,37.6799173,127.0548745
34,서울교대체육시설,서초구,37.4939027,127.0234445
35,양재체육시설,서초구,37.4723992,127.0439052
36,손기정문화체육센터,중구,37.5569261,126.9663687
37,장충체육관,중구,37.5581865,127.00679
38,불암산종합스타디움,노원구,37.6387792,127.0832403
39,서초구민체육센터,서초구,37.4988598,126.9905166
40,잠원스포츠파크,서초구,37.5109254,127.0052762
41,서대문문화체육회관,서대문구,37.5807597,126.9315574
42,목동주경기장,양천구,37.5292629,126.8802993
43,목동실내빙상장(목동아이스링크),양천구,37.5292629,126.8802993
44,한강시민공원반포지구,서초구,37.507687,126.9927021
45,목동테니스장,양천구,37.5283489,126.8790431
46,서울대공원,광진구,37.5498987,127.0809212
47,한강시민공원여의도지구,영등포구,37.5263366,126.9335968
